id,time,output,land,labor,hiredlabor,famlabor,seed,urea,pest,varieties,status,bimas,region,price
101068,2002,1200,0.571,216,100,116,15,100,0,high,mixed,no,wargabinangun,60
101068,2003,480,0.086,108,20,88,7,25,0,high,owner,no,wargabinangun,100
101068,2004,280,0.082,76,20,56,10,5,0,high,owner,no,wargabinangun,120
101069,1999,600,0.18,136,101,35,7,40,0,high,owner,no,wargabinangun,60
101069,2000,3000,0.888,565,510,55,35,70,0,high,owner,no,wargabinangun,60
101069,2001,840,0.377,367,160,207,12,150,0,high,owner,no,wargabinangun,65
101069,2002,660,0.371,170,110,60,25,100,500,trad,owner,no,wargabinangun,60
101069,2003,2700,0.681,213,110,103,10,100,2000,high,owner,no,wargabinangun,140
101069,2004,1925,0.281,148,50,98,10,100,0,high,owner,no,wargabinangun,150
101073,1999,250,0.071,110,50,60,5,35,0,high,share,no,wargabinangun,60
101073,2000,220,0.071,130,50,80,5,35,0,high,share,no,wargabinangun,70
101073,2001,480,0.142,149,144,5,6,65,0,high,share,no,wargabinangun,60
101073,2002,360,0.143,156,70,86,10,30,0,high,owner,no,wargabinangun,60
101073,2003,600,0.129,99,8,91,5,50,2325,high,owner,no,wargabinangun,100
101073,2004,600,0.129,86,8,78,5,50,2325,high,owner,no,wargabinangun,120
101089,1999,940,0.357,399,310,89,10,100,0,high,owner,no,wargabinangun,60
101089,2000,920,0.357,429,230,199,10,100,0,high,owner,no,wargabinangun,65
101089,2001,550,0.355,273,229,44,10,100,0,high,owner,no,wargabinangun,75
101089,2002,540,0.357,120,62,58,15,90,0,high,owner,no,wargabinangun,60
101089,2003,725,0.157,135,1,135,5,50,1000,high,owner,no,wargabinangun,120
101089,2004,800,0.157,109,1,109,5,50,0,high,owner,no,wargabinangun,130
101094,1999,1600,0.714,530,510,20,30,150,0,high,share,no,wargabinangun,60
101094,2000,1800,0.714,650,610,40,30,150,0,high,share,no,wargabinangun,60
101094,2001,840,0.286,270,260,10,15,100,0,high,share,no,wargabinangun,60
101094,2002,600,0.357,228,208,20,15,75,650,high,owner,no,wargabinangun,60
101094,2003,1800,0.357,265,235,30,10,150,4000,high,owner,no,wargabinangun,120
101094,2004,1600,0.357,215,200,15,10,150,5000,high,owner,no,wargabinangun,140
102111,1999,1500,0.714,483,425,58,20,100,0,high,owner,no,wargabinangun,60
102111,2000,1600,0.714,438,385,53,20,100,0,high,owner,no,wargabinangun,60
102111,2001,840,0.355,450,430,20,25,25,0,high,owner,no,wargabinangun,60
102111,2002,800,0.536,471,380,91,20,200,0,high,owner,no,wargabinangun,60
102111,2003,3000,0.643,480,300,180,16,150,0,high,owner,no,wargabinangun,120
102111,2004,2800,0.643,375,331,44,16,150,0,high,owner,no,wargabinangun,110
102113,1999,960,0.357,380,305,75,20,50,0,trad,share,no,wargabinangun,60
102113,2000,1800,0.357,345,280,65,20,100,0,high,share,no,wargabinangun,60
102113,2001,960,0.357,340,305,35,15,100,1200,high,share,no,wargabinangun,60
102113,2002,1400,0.5,313,270,43,13,100,2000,high,share,mixed,wargabinangun,60
102113,2003,5800,1.428,1185,1054,131,60,350,12600,high,owner,no,wargabinangun,120
102113,2004,4600,1.428,762,659,103,60,350,12600,high,owner,no,wargabinangun,140
102119,1999,3600,1.071,1110,1055,55,50,250,1500,trad,owner,no,wargabinangun,60
102119,2000,3240,1.071,1305,1240,65,50,250,1500,mixed,owner,no,wargabinangun,65
102119,2001,360,0.179,98,44,54,5,50,0,high,owner,no,wargabinangun,60
102119,2002,300,0.09,86,20,66,4,10,0,high,owner,no,wargabinangun,65
102119,2003,300,0.029,132,1,132,2,10,0,high,owner,no,wargabinangun,100
102119,2004,200,0.029,80,1,80,5,10,0,high,owner,yes,wargabinangun,110
102126,1999,1800,1.286,635,499,136,40,100,0,high,owner,mixed,wargabinangun,60
102126,2000,2800,1.286,448,331,117,40,150,0,high,owner,mixed,wargabinangun,60
102126,2001,1200,0.533,345,290,55,30,125,0,high,owner,mixed,wargabinangun,60
102126,2002,560,0.355,232,150,82,15,125,600,trad,owner,mixed,wargabinangun,60
102126,2003,2400,0.571,444,60,384,50,150,4800,high,owner,yes,wargabinangun,120
102126,2004,2400,0.571,222,44,178,30,150,4000,high,owner,no,wargabinangun,120
102157,1999,900,0.357,332,225,107,15,15,0,high,owner,no,wargabinangun,70
102157,2000,1800,0.714,377,250,127,15,25,0,high,owner,no,wargabinangun,70
102157,2001,1500,1.065,905,525,380,30,250,0,high,owner,no,wargabinangun,60
102157,2002,3600,1.071,302,250,52,40,300,0,high,owner,no,wargabinangun,75
102157,2003,2160,0.535,418,306,112,15,150,3000,high,owner,no,wargabinangun,120
102157,2004,2300,0.535,450,216,234,15,150,3000,high,owner,no,wargabinangun,120
102194,1999,940,0.357,317,260,57,15,75,0,high,share,no,wargabinangun,65
102194,2000,920,0.357,185,130,55,15,75,0,high,share,no,wargabinangun,65
102194,2001,560,0.357,325,235,90,20,20,0,high,share,no,wargabinangun,60
102194,2002,400,0.357,160,150,10,20,50,0,high,owner,no,wargabinangun,60
102194,2003,2600,0.357,384,265,119,14,70,1600,high,share,no,wargabinangun,110
102194,2004,720,0.357,185,185,1,14,100,1600,high,share,yes,wargabinangun,120
102220,1999,11667,3.57,3410,3270,140,100,1250,0,high,owner,mixed,wargabinangun,60
102220,2000,11667,3.57,1760,1620,140,1250,1250,0,high,owner,mixed,wargabinangun,70
102220,2001,12000,5,2775,2650,125,100,1000,0,high,owner,mixed,wargabinangun,65
102220,2002,5000,3.571,1550,1550,1,125,700,9000,high,mixed,no,wargabinangun,60
102220,2003,4200,0.714,593,548,45,25,200,3000,high,owner,no,wargabinangun,110
102220,2004,4200,0.714,495,448,47,25,200,3000,high,owner,no,wargabinangun,150
201001,1999,1800,0.56,266,193,73,20,75,0,high,owner,no,langan,55
201001,2000,1600,0.56,154,70,84,20,50,0,high,owner,no,langan,55
201001,2001,750,0.357,456,80,376,20,75,0,high,owner,no,langan,60
201001,2002,2000,1,456,400,56,30,200,0,high,share,no,langan,60
201001,2003,3660,0.714,410,290,120,50,100,1200,high,mixed,no,langan,100
201001,2004,2400,0.714,242,118,124,50,100,1200,high,mixed,no,langan,120
201002,1999,2220,0.577,543,350,193,40,150,0,high,owner,mixed,langan,60
201002,2000,1752,0.577,241,68,173,30,1,0,mixed,owner,mixed,langan,55
201002,2001,870,0.5,324,276,48,25,125,2100,high,owner,mixed,langan,55
201002,2002,975,0.5,386,100,286,15,150,650,trad,owner,mixed,langan,60
201002,2003,4320,0.5,430,240,190,30,100,2000,high,owner,no,langan,115
201002,2004,1880,0.5,312,88,224,30,50,0,high,owner,no,langan,100
201003,1999,2700,0.5,315,232,83,30,75,0,high,owner,mixed,langan,55
201003,2000,1800,0.5,567,127,440,15,50,0,high,owner,mixed,langan,55
201003,2001,460,0.357,200,160,40,15,100,0,high,owner,mixed,langan,55
201003,2002,1800,0.5,269,240,29,25,50,0,high,owner,no,langan,60
201003,2003,3600,0.714,520,480,40,60,475,3000,high,owner,no,langan,120
201003,2004,1400,0.357,196,172,24,30,200,1500,high,owner,no,langan,150
201009,1999,840,0.21,191,26,165,8,100,500,high,owner,no,langan,55
201009,2000,480,0.21,205,30,175,8,20,0,high,owner,no,langan,55
201009,2001,180,0.214,116,20,96,10,15,0,high,owner,no,langan,55
201009,2002,350,0.286,331,54,277,6,1,0,trad,owner,no,langan,60
201009,2003,1800,0.357,228,115,113,20,75,1000,high,owner,no,langan,110
201009,2004,1300,0.357,190,120,70,15,50,0,high,owner,no,langan,140
202039,1999,14400,5.322,4774,4536,238,310,450,75,mixed,owner,mixed,langan,65
202039,2000,6010,2.898,2012,1878,134,160,300,500,high,owner,mixed,langan,60
202039,2001,4620,2.923,2782,2198,584,174,750,2400,high,owner,mixed,langan,60
202039,2002,7920,2.13,2406,2211,195,100,150,0,high,owner,no,langan,70
202039,2003,6840,1.286,1100,370,730,95,600,2000,high,owner,yes,langan,100
202039,2004,1250,0.357,182,1,182,15,20,0,high,owner,no,langan,150
202061,1999,7000,1.82,1483,1363,120,115,480,0,high,owner,mixed,langan,50
202061,2000,2160,1.47,661,569,92,45,190,0,high,owner,mixed,langan,50
202061,2001,3480,2.1,2568,2520,48,40,225,1500,high,owner,mixed,langan,65
202061,2002,3000,1.429,603,560,43,50,150,0,mixed,owner,no,langan,60
202061,2003,20960,3.929,3450,2858,592,138,800,7500,high,owner,no,langan,120
202061,2004,6000,1.786,1096,840,256,63,250,0,high,owner,no,langan,150
202066,1999,350,0.06,90,6,84,5,40,0,high,owner,no,langan,55
202066,2000,190,0.06,133,15,118,8,25,0,high,owner,no,langan,60
202066,2001,300,0.07,135,1,135,2,25,0,high,owner,no,langan,70
202066,2002,240,0.071,82,16,66,3,20,1000,high,owner,no,langan,60
202066,2003,10800,2.493,1628,900,728,95,550,10500,high,mixed,yes,langan,120
202066,2004,5760,1.714,764,288,476,65,375,7200,high,mixed,no,langan,150
203079,1999,4800,1.356,713,287,426,75,150,0,high,owner,mixed,langan,55
203079,2000,1440,0.638,369,98,271,25,100,0,high,owner,mixed,langan,50
203079,2001,975,0.572,334,224,110,25,150,1500,high,owner,mixed,langan,60
203079,2002,600,0.285,185,1,185,25,1,0,trad,owner,no,langan,50
203079,2003,3600,1,696,104,592,70,250,1500,high,owner,no,langan,100
203079,2004,3800,1,530,1,530,30,150,0,high,owner,no,langan,120
203080,1999,1500,0.496,428,62,366,20,120,0,high,owner,mixed,langan,55
203080,2000,600,0.286,177,1,177,10,1,0,trad,owner,mixed,langan,55
203080,2001,800,0.357,392,40,352,18,150,0,high,owner,mixed,langan,62
203080,2002,250,0.098,110,16,94,6,25,0,high,owner,no,langan,60
203080,2003,700,0.143,162,80,82,25,25,1500,high,owner,no,langan,100
203080,2004,480,0.143,153,71,82,10,25,1500,high,owner,no,langan,100
204096,1999,15000,3.5,4213,2849,1364,140,700,310,high,owner,mixed,langan,60
204096,2000,2400,1,357,161,196,30,200,2000,high,owner,mixed,langan,55
204096,2001,12100,3.59,3836,2374,1462,210,1000,3200,high,owner,mixed,langan,70
204096,2002,3500,0.84,348,155,193,30,200,0,high,owner,no,langan,60
204096,2003,12000,3,2337,811,1526,160,900,4400,high,owner,no,langan,120
204096,2004,9000,3,2250,1270,980,90,600,2600,high,owner,no,langan,140
204114,1999,1200,0.28,297,287,10,12,60,200,high,owner,mixed,langan,55
204114,2000,360,0.28,132,120,12,8,25,0,trad,owner,mixed,langan,55
204114,2001,420,0.2,131,46,85,12,80,0,high,owner,mixed,langan,55
204114,2002,420,0.28,130,101,29,8,75,0,high,owner,mixed,langan,60
204114,2003,900,0.2,251,35,216,16,75,1200,high,share,no,langan,100
204114,2004,480,0.2,197,35,162,16,25,600,high,owner,no,langan,140
204116,1999,6000,1,896,805,91,75,250,800,high,owner,mixed,langan,50
204116,2000,3600,1,559,490,69,70,200,0,high,owner,mixed,langan,60
204116,2001,1200,1,576,528,48,20,300,300,high,owner,mixed,langan,55
204116,2002,3600,1,377,309,68,40,300,1800,high,owner,mixed,langan,65
204116,2003,8400,1.571,1224,1094,130,50,500,8000,high,owner,no,langan,110
204116,2004,6600,1.571,600,555,45,40,350,7500,high,owner,no,langan,140
204124,1999,1200,0.286,292,257,35,10,50,0,high,owner,no,langan,55
204124,2000,1080,0.286,207,189,18,10,25,0,high,owner,no,langan,50
204124,2001,260,0.142,148,76,72,10,50,0,high,owner,no,langan,70
204124,2002,350,0.28,185,71,114,8,10,0,high,owner,no,langan,60
204124,2003,640,0.143,124,56,68,8,51,1800,high,owner,no,langan,100
204124,2004,360,0.143,102,32,70,5,25,1800,high,owner,no,langan,150
205132,1999,2040,0.772,612,419,193,30,50,0,trad,owner,mixed,langan,55
205132,2000,664,0.352,287,42,245,10,25,0,trad,owner,mixed,langan,50
205132,2001,1420,0.858,516,48,468,60,100,0,trad,owner,mixed,langan,50
205132,2002,390,0.357,132,1,132,12,30,0,trad,owner,no,langan,60
205132,2003,2400,0.572,872,224,548,82,150,900,high,owner,no,langan,100
205132,2004,1800,0.572,396,96,300,20,110,1000,high,owner,no,langan,130
205136,1999,420,0.11,106,30,76,3,40,0,high,owner,no,langan,55
205136,2000,300,0.11,77,35,42,3,40,0,high,owner,no,langan,50
205136,2001,300,0.214,116,80,36,5,50,0,high,owner,no,langan,55
205136,2002,280,0.143,243,30,213,5,25,0,high,owner,no,langan,55
205136,2003,360,0.071,112,104,8,7,50,2500,high,owner,no,langan,110
205136,2004,300,0.071,63,52,11,5,25,0,high,owner,no,langan,120
205151,1999,950,0.429,227,56,171,14,90,900,mixed,mixed,mixed,langan,55
205151,2000,840,0.286,102,27,75,9,40,0,high,mixed,mixed,langan,50
205151,2001,1350,0.965,488,144,344,40,225,200,high,mixed,mixed,langan,55
205151,2002,960,0.286,185,38,147,10,100,150,high,owner,no,langan,60
205151,2003,3800,0.714,687,387,300,22,125,1800,high,owner,no,langan,100
205151,2004,3240,0.964,401,104,297,28,200,2700,high,owner,no,langan,130
205153,1999,10200,4.07,3124,2044,1080,250,600,0,mixed,owner,no,langan,55
205153,2000,600,0.143,119,25,94,3,25,0,high,owner,no,langan,55
205153,2001,4900,3.643,2931,2080,851,200,400,0,high,owner,no,langan,70
205153,2002,840,0.286,190,132,58,10,75,0,high,owner,no,langan,60
205153,2003,1440,0.286,160,108,52,25,100,0,high,owner,no,langan,100
205153,2004,960,0.286,151,119,32,12,70,0,high,owner,no,langan,140
206158,1999,3150,1.143,942,216,726,40,1,0,mixed,owner,no,langan,50
206158,2000,225,0.143,95,14,81,2,1,0,high,owner,no,langan,50
206158,2001,900,0.5,448,1,448,20,1,0,trad,owner,no,langan,50
206158,2002,270,0.143,245,16,229,10,25,0,trad,owner,no,langan,60
206158,2003,4800,0.714,384,224,160,84,150,3000,high,share,no,langan,120
206158,2004,1680,0.429,232,80,152,40,150,0,high,share,no,langan,130
206169,1999,1205,0.636,357,118,239,15,20,0,mixed,owner,mixed,langan,55
206169,2000,210,0.143,83,8,75,3,10,0,trad,owner,mixed,langan,50
206169,2001,800,0.5,436,140,246,15,100,0,trad,owner,mixed,langan,60
206169,2002,550,0.143,349,51,298,15,100,0,trad,owner,no,langan,65
206169,2003,980,0.214,120,32,88,5,40,1500,high,owner,no,langan,120
206169,2004,360,0.214,80,1,80,4,25,0,high,owner,no,langan,140
207209,1999,1500,0.286,198,84,114,8,100,200,high,owner,no,langan,55
207209,2000,480,0.286,156,70,86,9,10,0,trad,owner,no,langan,55
207209,2001,540,0.286,224,25,199,10,100,200,high,owner,no,langan,55
207209,2002,960,0.286,306,45,261,12,50,0,mixed,owner,no,langan,60
207209,2003,4440,0.786,468,120,348,30,300,10900,high,owner,no,langan,120
207209,2004,840,0.286,152,48,104,10,100,2000,high,owner,no,langan,125
208225,1999,4560,1.28,699,450,249,58,220,0,high,mixed,mixed,langan,55
208225,2000,2340,1.28,402,236,166,30,100,0,high,mixed,mixed,langan,55
208225,2001,1280,0.714,552,464,88,15,250,0,high,mixed,mixed,langan,55
208225,2002,1800,0.71,428,324,104,20,150,0,high,owner,no,langan,65
208225,2003,4200,0.714,426,240,186,60,300,1000,high,owner,yes,langan,120
208225,2004,2400,0.714,516,352,164,40,100,1500,high,owner,no,langan,100
209232,1999,240,0.064,87,8,79,7,20,0,high,owner,no,langan,55
209232,2000,216,0.064,57,8,49,6,10,0,high,owner,no,langan,50
209232,2001,400,0.28,250,81,169,18,60,0,high,owner,no,langan,70
209232,2002,450,0.128,118,10,108,9,50,0,high,owner,no,langan,60
209232,2003,720,0.057,100,26,74,13,50,1000,high,owner,no,langan,100
209232,2004,360,0.057,125,16,109,5,50,0,high,owner,no,langan,140
209241,1999,1200,0.28,219,190,29,10,80,0,high,owner,mixed,langan,55
209241,2000,660,0.28,197,194,3,10,40,0,high,owner,mixed,langan,50
209241,2001,620,0.357,252,236,16,18,50,0,high,owner,mixed,langan,55
209241,2002,600,0.357,334,260,74,20,100,0,high,owner,no,langan,60
209241,2003,3000,1.429,982,884,98,40,250,3000,high,owner,no,langan,100
209241,2004,4400,1.429,870,820,50,20,150,0,high,owner,no,langan,150
209250,1999,260,0.07,90,1,90,3,20,0,high,owner,no,langan,50
209250,2000,120,0.07,46,1,46,3,10,0,high,owner,no,langan,50
209250,2001,375,0.142,126,1,126,6,30,0,high,owner,no,langan,55
209250,2002,130,0.071,97,1,97,5,7,0,trad,owner,no,langan,60
209250,2003,1200,0.357,384,1,384,25,75,0,high,owner,no,langan,120
209250,2004,960,0.357,224,1,224,6,25,0,high,owner,no,langan,150
301004,1999,350,0.14,170,85,85,6,25,250,trad,owner,mixed,gunungwangi,64
301004,2000,372,0.14,170,85,85,6,25,250,trad,owner,mixed,gunungwangi,70
301004,2001,280,0.15,176,160,16,5,25,70,trad,owner,mixed,gunungwangi,65
301004,2002,380,0.15,157,105,52,6,25,300,trad,owner,no,gunungwangi,65
301004,2003,1760,0.429,541,385,156,19,150,300,trad,owner,no,gunungwangi,160
301004,2004,1900,0.429,581,425,156,19,150,500,trad,owner,no,gunungwangi,190
301010,1999,370,0.18,106,85,21,5,20,0,trad,owner,no,gunungwangi,55
301010,2000,205,0.18,120,99,21,5,20,0,trad,owner,no,gunungwangi,70
301010,2001,276,0.08,86,70,16,4,15,0,trad,owner,no,gunungwangi,65
301010,2002,135,0.086,91,43,48,5,15,0,trad,owner,no,gunungwangi,80
301010,2003,82,0.074,40,8,32,1,5,0,high,owner,no,gunungwangi,160
301010,2004,42,0.014,17,1,17,1,5,0,trad,owner,no,gunungwangi,190
301023,1999,419,0.185,90,66,24,7,15,0,trad,owner,no,gunungwangi,50
301023,2000,349,0.175,90,66,24,65,15,0,trad,owner,no,gunungwangi,78
301023,2001,425,0.12,116,80,36,3,20,0,trad,owner,no,gunungwangi,75
301023,2002,350,0.08,182,119,63,3,20,0,trad,owner,no,gunungwangi,65
301023,2003,352,0.179,132,30,102,5,40,0,trad,share,no,gunungwangi,160
301023,2004,493,0.179,126,30,96,5,40,0,trad,share,no,gunungwangi,190
301038,1999,2405,0.571,435,295,140,18,200,0,trad,mixed,no,gunungwangi,64
301038,2000,2405,0.571,647,327,320,18,200,0,trad,mixed,no,gunungwangi,70
301038,2001,1760,0.57,1186,1060,126,25,150,750,trad,mixed,no,gunungwangi,70
301038,2002,1468,0.7,564,420,144,25,150,0,trad,owner,no,gunungwangi,65
301038,2003,4506,1.663,1345,951,394,44,670,0,trad,owner,no,gunungwangi,140
301038,2004,4666,1.663,1479,951,528,44,670,0,trad,owner,no,gunungwangi,140.23
301055,1999,1237,0.5,306,208,98,8,100,0,trad,mixed,yes,gunungwangi,50
301055,2000,1375,0.5,307,138,169,8,100,0,trad,mixed,yes,gunungwangi,60
301055,2001,1830,0.575,543,395,148,12,165,0,mixed,mixed,yes,gunungwangi,70
301055,2002,600,0.375,396,245,151,10,75,0,trad,owner,mixed,gunungwangi,65
301055,2003,1225,0.42,602,254,348,14,100,0,mixed,owner,no,gunungwangi,160
301055,2004,1619,0.42,695,254,441,18,100,0,mixed,owner,no,gunungwangi,168.48
301058,1999,1151,0.36,266,108,158,10,75,0,trad,owner,no,gunungwangi,63
301058,2000,1012,0.36,266,108,158,10,75,0,trad,owner,no,gunungwangi,78
301058,2001,210,0.015,47,1,47,5,25,0,trad,owner,no,gunungwangi,60
301058,2002,391,0.179,111,50,61,8,20,0,trad,owner,no,gunungwangi,80
301058,2003,457,0.193,305,69,236,10,70,0,trad,mixed,no,gunungwangi,160
301058,2004,559,0.193,280,49,231,10,70,0,trad,mixed,no,gunungwangi,190
301067,1999,1971,0.92,642,587,55,30,300,1000,trad,owner,no,gunungwangi,80
301067,2000,2288,0.92,742,687,55,30,300,1000,trad,owner,no,gunungwangi,90
301067,2001,1060,0.375,175,140,35,6,75,450,trad,owner,no,gunungwangi,65
301067,2002,1200,0.535,383,293,90,7,70,500,high,owner,no,gunungwangi,65
301067,2003,1705,0.519,407,303,104,25,155,0,trad,owner,no,gunungwangi,160
301067,2004,1978,0.604,433,330,103,25,155,0,trad,owner,no,gunungwangi,190
301070,1999,988,0.3,355,100,255,6,20,0,trad,owner,mixed,gunungwangi,90
301070,2000,320,0.3,355,100,255,6,20,0,trad,owner,mixed,gunungwangi,90
301070,2001,428,0.15,216,1,216,5,45,0,trad,owner,mixed,gunungwangi,65
301070,2002,195,0.05,123,1,123,3,6,0,trad,owner,no,gunungwangi,80
301070,2003,102,0.03,40,5,35,1,8,0,trad,owner,no,gunungwangi,160
301070,2004,115,0.03,40,5,35,1,8,0,trad,owner,no,gunungwangi,190
301075,1999,2065,0.7,389,260,129,16,50,800,trad,mixed,no,gunungwangi,80
301075,2000,2065,0.7,419,290,129,16,50,800,trad,mixed,no,gunungwangi,70
301075,2001,1060,0.39,275,150,125,15,60,0,trad,mixed,no,gunungwangi,65
301075,2002,645,0.5,203,110,93,7,50,0,trad,owner,no,gunungwangi,95
301075,2003,2176,0.51,316,180,136,15,100,0,trad,owner,no,gunungwangi,160
301075,2004,2528,0.51,381,230,151,15,100,0,trad,owner,no,gunungwangi,190
301084,1999,1302,0.71,458,360,98,18,150,0,trad,mixed,no,gunungwangi,65
301084,2000,1302,0.71,453,378,75,18,150,0,trad,mixed,no,gunungwangi,73
301084,2001,1126,0.385,224,156,68,10,65,0,trad,mixed,no,gunungwangi,85
301084,2002,473,0.75,240,162,78,12,75,0,trad,owner,no,gunungwangi,84
301084,2003,1302,0.557,307,225,82,18,115,0,trad,owner,no,gunungwangi,160
301084,2004,1092,0.557,547,465,82,18,115,0,trad,owner,no,gunungwangi,190
301105,1999,704,0.35,256,248,8,7,75,1000,trad,owner,no,gunungwangi,90
301105,2000,1056,0.35,266,258,8,7,75,1000,trad,owner,no,gunungwangi,90
301105,2001,71,0.02,25,1,25,2,5,0,trad,owner,no,gunungwangi,65
301105,2002,886,0.282,431,365,66,12,30,0,trad,owner,no,gunungwangi,80
301105,2003,146,0.073,94,57,37,2,12,0,trad,owner,no,gunungwangi,160
301105,2004,141,0.043,122,85,37,2,12,0,trad,owner,no,gunungwangi,190
301110,1999,447,0.18,153,58,95,7,65,680,trad,mixed,mixed,gunungwangi,64
301110,2000,550,0.18,188,48,140,7,65,680,trad,mixed,mixed,gunungwangi,68
301110,2001,477,0.193,114,24,90,7,50,0,trad,mixed,mixed,gunungwangi,92
301110,2002,996,0.193,235,145,90,9,50,0,trad,owner,no,gunungwangi,80
301110,2003,160,0.149,109,1,109,2,5,0,trad,owner,no,gunungwangi,156
301110,2004,138,0.049,136,1,136,2,5,0,trad,owner,no,gunungwangi,187.5
302116,1999,470,0.179,102,1,102,4,25,0,trad,owner,no,gunungwangi,60
302116,2000,413,0.179,137,1,137,4,25,0,trad,owner,no,gunungwangi,70
302116,2001,528,0.179,184,1,184,8,25,0,trad,owner,no,gunungwangi,67
302116,2002,443,0.179,221,20,201,4,25,0,trad,owner,no,gunungwangi,80
302116,2003,2675,0.814,812,500,312,36,190,0,trad,owner,no,gunungwangi,160
302116,2004,2218,0.636,718,456,262,28,205,0,trad,owner,no,gunungwangi,190
302120,1999,183,0.08,66,1,66,1,8,0,trad,share,no,gunungwangi,56
302120,2000,186,0.07,106,1,106,60,8,0,trad,share,no,gunungwangi,65
302120,2001,136,0.03,89,10,79,2,12,0,trad,share,no,gunungwangi,55
302120,2002,145,0.04,61,1,61,2,10,0,trad,owner,no,gunungwangi,80
302120,2003,160,0.08,120,1,120,3,15,0,trad,owner,no,gunungwangi,160
302120,2004,192,0.08,165,1,165,3,20,0,trad,owner,no,gunungwangi,190
302131,1999,1690,0.67,595,480,115,18,75,500,trad,owner,no,gunungwangi,64
302131,2000,2112,0.67,595,480,115,18,75,500,trad,owner,no,gunungwangi,78
302131,2001,1100,0.375,148,100,48,14,50,450,trad,owner,no,gunungwangi,60
302131,2002,785,0.355,387,288,99,17,50,0,trad,owner,no,gunungwangi,80
302131,2003,212,0.07,158,16,142,3,35,0,trad,owner,no,gunungwangi,160
